"One DocType per line. User, credentials, logs and the assistant's own records are always excluded.","Un DocType par ligne. Les utilisateurs, identifiants, journaux et enregistrements de l'assistant sont toujours exclus."
Only on listed pages,Uniquement sur les pages listées
Open assistant,Ouvrir l'assistant
Open automatically when the Desk loads,Ouvrir automatiquement au chargement du Desk
Open once right after login,Ouvrir une fois juste après la connexion
Open {0},Ouvrir {0}
"OpenAI Compatible also covers Ollama, vLLM, LM Studio, Mistral, Groq and similar services.","OpenAI Compatible couvre aussi Ollama, vLLM, LM Studio, Mistral, Groq et services similaires."
Page not shared,Page non partagée
Page patterns,Modèles de pages
Pagination alignment,Alignement de la pagination
Pagination style,Style de pagination
Panel background,Arrière-plan du panneau
Panel height (px),Hauteur du panneau (px)
Panel width (px),Largeur du panneau (px)
Pills,Pastilles
Please log in to use the assistant.,Connectez-vous pour utiliser l'assistant.
Previous messages sent with each question,Messages précédents envoyés avec chaque question
Prompt sent,Invite envoyée
Prompt tokens,Jetons d'invite
Provider latency (ms),Latence du fournisseur (ms)
"Put credentials in the API key field, not in the endpoint URL.","Mettez les identifiants dans le champ Clé API, pas dans l'URL."
Replace the suggestion table with the default prompts?,Remplacer le tableau des suggestions par les invites par défaut ?
Reply language,Langue des réponses
Reply tokens,Jetons de réponse
Request timeout (seconds),Délai d'expiration de la requête (secondes)
Restore default suggestions,Restaurer les suggestions par défaut
"Rounding of report tables, child tables and grids. List views follow the card radius.","Arrondi des tableaux de rapport, des tableaux enfants et des grilles. Les vues liste suivent l'arrondi des cartes."
Row background,Fond des lignes
Row height (px),Hauteur des lignes (px)
Row hover,Survol des lignes
Row text,Texte des lignes
Rows,Lignes
Search or type a command,Rechercher ou saisir une commande
Selected row,Ligne sélectionnée
Semibold,Semi-gras
Send message,Envoyer le message
Set a model and test the connection before saving.,Définissez un modèle et testez la connexion avant d'enregistrer.
Share page,Partager la page
Share this page with the assistant,Partager cette page avec l'assistant
Show on pages,Afficher sur les pages
Show only on,Afficher uniquement sur
Show suggested prompts,Afficher les suggestions
Show typing indicator,Afficher l'indicateur de saisie
"Shown when a conversation starts. Leave empty for the built-in, translated greeting.",Affiché au début d'une conversation. Laissez vide pour la salutation intégrée et traduite.
Something went wrong.,Une erreur s'est produite.
Spacing,Espacement
"Square image. Without one, the assistant uses the Myrmex mark with its initial.","Image carrée. Sans image, l'assistant utilise le logo Myrmex avec son initiale."
Start a conversation,Démarrer une conversation
Start a new conversation,Démarrer une nouvelle conversation
Started on page,Commencée sur la page
Stop sharing this page with the assistant,Ne plus partager cette page avec l'assistant
Stored encrypted and only used on the server. It is never sent to browsers.,Stockée chiffrée et utilisée uniquement sur le serveur. Elle n'est jamais envoyée aux navigateurs.
Stripe background,Fond des lignes alternées
Striped rows,Lignes alternées
Suggested prompts,Invites suggérées
Suggested questions,Questions suggérées
System prompt,Invite système
Table Styles,Styles de tableau
Table radius (px),Arrondi des tableaux (px)
Test connection,Tester la connexion
That conversation no longer exists.,Cette conversation n'existe plus.
The AI provider is busy right now. Try again in a minute.,Le fournisseur d'IA est occupé. Réessayez dans une minute.
The AI provider rejected the assistant's credentials. Ask an administrator to check the API key.,Le fournisseur d'IA a refusé les identifiants de l'assistant. Demandez à un administrateur de vérifier la clé API.
The AI provider returned an error ({0}).,Le fournisseur d'IA a renvoyé une erreur ({0}).
The AI provider sent a reply the assistant could not read.,Le fournisseur d'IA a envoyé une réponse illisible pour l'assistant.
The AI provider sent an unexpectedly large reply.,Le fournisseur d'IA a envoyé une réponse anormalement volumineuse.
The API endpoint must be a full http(s) URL.,Le point de terminaison doit être une URL http(s) complète.
The API endpoint uses plain http. Messages and the API key will travel unencrypted.,Le point de terminaison utilise http simple. Les messages et la clé API circuleront sans chiffrement.
The assistant could not be reached. Check your connection.,Impossible de joindre l'assistant. Vérifiez votre connexion.
The assistant could not reach the AI provider.,L'assistant n'a pas pu joindre le fournisseur d'IA.
The assistant has no API endpoint configured.,Aucun point de terminaison n'est configuré pour l'assistant.
The assistant has no API key configured.,Aucune clé API n'est configurée pour l'assistant.
The assistant has no model configured.,Aucun modèle n'est configuré pour l'assistant.
The assistant is turned off.,L'assistant est désactivé.
The assistant returned an empty answer. Try rephrasing.,L'assistant a renvoyé une réponse vide. Essayez de reformuler.
The assistant took too long to answer. Try again in a moment.,L'assistant a mis trop de temps à répondre. Réessayez dans un instant.
The model or deployment name your provider expects.,Le nom du modèle ou du déploiement attendu par votre fournisseur.
"The page or document the user was on. Only the reference is stored, not its data.","La page ou le document consulté. Seule la référence est stockée, pas ses données."
Theme updated,Thème mis à jour
Thinking…,Réflexion…
This conversation is full. Start a new one to keep going.,Cette conversation est pleine. Démarrez-en une nouvelle pour continuer.
This page,Cette page
"Tone, scope and company-specific guidance. Safety and permission rules are always added after it and cannot be removed here.","Ton, périmètre et consignes propres à l'entreprise. Les règles de sécurité et d'autorisation sont toujours ajoutées ensuite et ne peuvent pas être retirées ici."
Try again,Réessayer
Turn on after the AI provider below is configured and tested.,Activez après avoir configuré et testé le fournisseur d'IA ci-dessous.
Type a message first.,Saisissez d'abord un message.
Unknown AI provider: {0},Fournisseur d'IA inconnu : {0}
Unknown error,Erreur inconnue
Untitled conversation,Conversation sans titre
Uppercase headers,En-têtes en majuscules
Use at most 100 page patterns.,Utilisez au maximum 100 modèles de pages.
User language,Langue de l'utilisateur
User language follows each person's language setting in Frappe.,La langue de l'utilisateur suit le réglage de langue de chaque personne dans Frappe.
User's open assignments (ToDo),Affectations ouvertes de l'utilisateur (ToDo)
User's recent changes in the current DocType,Modifications récentes de l'utilisateur dans le DocType actuel
Uses only data you can access,N'utilise que les données auxquelles vous avez accès
Using: {0},Utilise : {0}
View conversations,Voir les conversations
Welcome message,Message d'accueil
What the assistant may read about the page a user is on. Everything is read with that user's permissions; restricted fields and records are left out.,Ce que l'assistant peut lire de la page consultée. Tout est lu avec les autorisations de l'utilisateur ; les champs et enregistrements restreints sont exclus.
"When off, nothing is stored on the server and conversations last only for the browser tab.",Désactivé : rien n'est stocké sur le serveur et les conversations ne durent que le temps de l'onglet.
You are not allowed to use the assistant.,Vous n'êtes pas autorisé à utiliser l'assistant.
You said:,Vous avez dit :
"You're sending messages quickly. Wait a minute, then try again.",Vous envoyez des messages trop vite. Patientez une minute puis réessayez.
You've reached today's message limit. It resets within 24 hours.,Vous avez atteint la limite de messages du jour. Elle se réinitialise sous 24 heures.
Your message bubble,Bulle de vos messages
Your message is too long. Keep it under {0} characters.,Votre message est trop long. Limitez-le à {0} caractères.
{0} answered in {1} ms using {2}.,{0} a répondu en {1} ms avec {2}.
{0} is not a valid hex colour: {1},{0} n'est pas une couleur hexadécimale valide : {1}
{0} list,Liste {0}
