Set a model and test the connection before saving.,حدّد نموذجًا واختبر الاتصال قبل الحفظ.
Share page,مشاركة الصفحة
Share this page with the assistant,مشاركة هذه الصفحة مع المساعد
Show on pages,العرض في الصفحات
Show only on,العرض فقط في
Show suggested prompts,عرض الاقتراحات
Show typing indicator,عرض مؤشر الكتابة
"Shown when a conversation starts. Leave empty for the built-in, translated greeting.",يظهر عند بدء المحادثة. اتركه فارغًا لاستخدام التحية المدمجة المترجمة.
Something went wrong.,حدث خطأ ما.
Spacing,التباعد
"Square image. Without one, the assistant uses the Myrmex mark with its initial.",صورة مربعة. بدونها يستخدم المساعد شعار Myrmex مع الحرف الأول من اسمه.
Start a conversation,بدء محادثة
Start a new conversation,بدء محادثة جديدة
Started on page,بدأت في الصفحة
Stop sharing this page with the assistant,إيقاف مشاركة هذه الصفحة مع المساعد
Stored encrypted and only used on the server. It is never sent to browsers.,يُخزَّن مشفّرًا ويُستخدم على الخادم فقط، ولا يُرسَل إلى المتصفحات أبدًا.
Stripe background,خلفية الصفوف المخططة
Striped rows,صفوف مخططة
Suggested prompts,الاقتراحات
Suggested questions,أسئلة مقترحة
System prompt,تعليمات النظام
Table Styles,أنماط الجداول
Table radius (px),استدارة الجداول (px)
Test connection,اختبار الاتصال
That conversation no longer exists.,هذه المحادثة لم تعد موجودة.
The AI provider is busy right now. Try again in a minute.,مزوّد الذكاء الاصطناعي مشغول حاليًا. حاول مجددًا بعد دقيقة.
The AI provider rejected the assistant's credentials. Ask an administrator to check the API key.,رفض مزوّد الذكاء الاصطناعي بيانات اعتماد المساعد. اطلب من المسؤول التحقق من مفتاح API.
The AI provider returned an error ({0}).,أعاد مزوّد الذكاء الاصطناعي خطأ ({0}).
The AI provider sent a reply the assistant could not read.,أرسل مزوّد الذكاء الاصطناعي ردًا تعذّر على المساعد قراءته.
The AI provider sent an unexpectedly large reply.,أرسل مزوّد الذكاء الاصطناعي ردًا كبيرًا بشكل غير متوقع.
The API endpoint must be a full http(s) URL.,يجب أن يكون عنوان واجهة البرمجة رابط http(s) كاملًا.
The API endpoint uses plain http. Messages and the API key will travel unencrypted.,يستخدم العنوان http غير المشفّر. ستنتقل الرسائل ومفتاح API دون تشفير.
The assistant could not be reached. Check your connection.,تعذّر الوصول إلى المساعد. تحقّق من اتصالك.
The assistant could not reach the AI provider.,تعذّر على المساعد الوصول إلى مزوّد الذكاء الاصطناعي.
The assistant has no API endpoint configured.,لم يتم ضبط عنوان واجهة البرمجة للمساعد.
The assistant has no API key configured.,لم يتم ضبط مفتاح API للمساعد.
The assistant has no model configured.,لم يتم ضبط نموذج للمساعد.
The assistant is turned off.,المساعد معطّل.
The assistant returned an empty answer. Try rephrasing.,أعاد المساعد إجابة فارغة. حاول إعادة الصياغة.
The assistant took too long to answer. Try again in a moment.,استغرق المساعد وقتًا طويلًا للرد. حاول مجددًا بعد قليل.
The model or deployment name your provider expects.,اسم النموذج أو النشر الذي يتوقعه المزوّد.
"The page or document the user was on. Only the reference is stored, not its data.",الصفحة أو المستند الذي كان المستخدم عليه. تُخزَّن الإشارة فقط دون البيانات.
Theme updated,تم تحديث السمة
Thinking…,جارٍ التفكير…
This conversation is full. Start a new one to keep going.,هذه المحادثة ممتلئة. ابدأ محادثة جديدة للمتابعة.
This page,هذه الصفحة
"Tone, scope and company-specific guidance. Safety and permission rules are always added after it and cannot be removed here.",الأسلوب والنطاق والإرشادات الخاصة بالشركة. تُضاف قواعد الأمان والصلاحيات بعدها دائمًا ولا يمكن إزالتها من هنا.
Try again,إعادة المحاولة
Turn on after the AI provider below is configured and tested.,فعّله بعد ضبط مزوّد الذكاء الاصطناعي أدناه واختباره.
Type a message first.,اكتب رسالة أولًا.
Unknown AI provider: {0},مزوّد ذكاء اصطناعي غير معروف: {0}
Unknown error,خطأ غير معروف
Untitled conversation,محادثة بلا عنوان
Uppercase headers,رؤوس بأحرف كبيرة
Use at most 100 page patterns.,استخدم 100 نمط صفحة على الأكثر.
User language,لغة المستخدم
User language follows each person's language setting in Frappe.,لغة المستخدم تتبع إعداد اللغة الخاص بكل شخص في Frappe.
User's open assignments (ToDo),مهام المستخدم المفتوحة (ToDo)
User's recent changes in the current DocType,تعديلات المستخدم الأخيرة في نوع المستند الحالي
Uses only data you can access,يستخدم فقط البيانات المتاحة لك
Using: {0},يستخدم: {0}
View conversations,عرض المحادثات
Welcome message,رسالة الترحيب
What the assistant may read about the page a user is on. Everything is read with that user's permissions; restricted fields and records are left out.,ما يمكن للمساعد قراءته عن الصفحة التي يتصفحها المستخدم. تتم القراءة بصلاحيات هذا المستخدم، وتُستبعد الحقول والسجلات المقيّدة.
"When off, nothing is stored on the server and conversations last only for the browser tab.",عند التعطيل لا يُخزَّن شيء على الخادم، وتبقى المحادثات فقط طوال بقاء علامة التبويب مفتوحة.
You are not allowed to use the assistant.,غير مسموح لك باستخدام المساعد.
You said:,قلت:
"You're sending messages quickly. Wait a minute, then try again.",أنت ترسل الرسائل بسرعة. انتظر دقيقة ثم حاول مجددًا.
You've reached today's message limit. It resets within 24 hours.,لقد بلغت حد الرسائل لليوم. سيُعاد ضبطه خلال 24 ساعة.
Your message bubble,فقاعة رسائلك
Your message is too long. Keep it under {0} characters.,رسالتك طويلة جدًا. اجعلها أقل من {0} حرفًا.
{0} answered in {1} ms using {2}.,استجاب {0} خلال {1} ms باستخدام {2}.
{0} is not a valid hex colour: {1},{0} ليس لونًا سداسيًا صالحًا: {1}
{0} list,قائمة {0}
